ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Metazoa,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,Oithona,Oithona similis
ASV_2,no_hit,Dinophyceae,Dinophyceae,unknown,unknown,unknown,unknown
ASV_3,Metazoa,Arthropoda,Hexanauplia,Calanoida,Metridinidae,Metridia,unknown
ASV_4,Metazoa,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unknown
ASV_5,no_hit,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unknown
ASV_6,no_hit,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unknown
ASV_7,Metazoa,Arthropoda,Hexanauplia,Calanoida,Calanidae,unknown,unknown
ASV_8,no_hit,Dinophyceae,Dinophyceae,unknown,unknown,unknown,unknown
ASV_9,no_hit,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,unknown,unknown
ASV_10,no_hit,Dinophyceae,Dinophyceae,unknown,unknown,unknown,unknown
ASV_11,no_hit,unknown,unknown,unknown,unknown,unknown,Acantharian sp. 6201
ASV_12,Metazoa,Chordata,Appendicularia,Copelata,Oikopleuridae,Oikopleura,Oikopleura dioica
ASV_13,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
ASV_14,no_hit,Dinophyceae,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unknown
ASV_15,Metazoa,Cnidaria,Hydrozoa,Siphonophorae,unknown,unknown,unknown
ASV_16,no_hit,Dinophyceae,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unknown
ASV_17,no_hit,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unknown
ASV_18,no_hit,Dinophyceae,Dinophyceae,Syndiniales,unknown,unknown,unknown
ASV_19,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
ASV_20,no_hit,Dinophyceae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo sanguinea
ASV_21,no_hit,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus
ASV_22,no_hit,Haptophyta,unknown,Phaeocystales,Phaeocystaceae,Phaeocystis,unknown
ASV_23,no_hit,Cercozoa,Imbricatea,Thaumatomonadida,Thaumatomastigidae,Protaspis,unknown
ASV_24,no_hit,Dinophyceae,Dinophyceae,unknown,unknown,unknown,unknown
ASV_25,Metazoa,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,unknown
ASV_26,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
ASV_27,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
ASV_28,no_hit,Dinophyceae,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium rubrum
ASV_29,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
ASV_30,Metazoa,Arthropoda,Hexanauplia,Calanoida,unknown,unknown,unknown
ASV_31,no_hit,Euglenozoa,unknown,Diplonemea,unknown,unknown,unknown
ASV_32,Metazoa,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unknown,unknown
ASV_33,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
ASV_34,no_hit,Bacillariophyta,Coscinodiscophyceae,unknown,unknown,unknown,unknown
ASV_35,Metazoa,Chordata,Mammalia,unknown,unknown,unknown,unknown
ASV_36,no_hit,Ciliophora,Prostomatea,Prorodontida,Plagiocampidae,unknown,unknown
ASV_37,Metazoa,Arthropoda,Hexanauplia,Calanoida,Metridinidae,unknown,unknown
ASV_38,no_hit,Dinophyceae,Dinophyceae,Syndiniales,unknown,unknown,unknown
ASV_39,unassigned,unknown,unknown,unknown,unknown,unknown,unknown
ASV_41,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
ASV_42,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
ASV_43,Metazoa,Arthropoda,Hexanauplia,Calanoida,unknown,unknown,unknown
ASV_44,no_hit,Retaria,Polycystinea,Nassellaria,Plagiacanthidae,Lithomelissa,Lithomelissa setosa
ASV_45,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Myrtaceae,unknown,unknown
ASV_46,no_hit,unknown,unknown,unknown,unknown,unknown,unknown
